year,6m_us,10y_us,spread_6m_10y,mkt_us_avg,increase_market,m2_stock,increase_m2,inflation,market_mass_b100_2005,spread_mass_inflation,mkt_mny_normalized_spread,inflation_normalized_spread,market_normalized,money_normalized_market,i1,i2,10y_minus_ir,ir,usdx,market_money,d_m2_billion,d_yearly_var_m2_per,d_m2_increase,d_population_us,d_per_person,d_dji,d_sp500,d_nasdaq,d_market_avg,d_market_money_b100_2005,d_market_money,e_m3_billion,e_yearly_var_m2_per,e_m3_increase,e_population_eu,e_per_person,e_cac,e_dax,e_market_avg,e_market_money_b100_2007,e_market_money
1990,7.35,8.56,1.21,1112,10,3.29,6.0,5.4,48,0.6,1.16,2.33,6,15,11,1.1,0.46 ,8.10,88,48.05,3.3,3.8,0.1,249,13204,2634,330,373,1112,48.1,338,3.0,12.0,0.32,318,9380,1517,1389,1453,68.7,488
1991,5.35,7.78,2.43,1391,25.0,3.38,2.8,4.2,58,-1.4,1.42,1.82,7,16,29,-0.6,2.09 ,5.69,90,53.24,3.4,2.8,0.1,252,13417,3169,417,586,1391,58.4,411,3.2,7.5,0.22,318,10064,1765,1577,1671,73.5,521
1992,3.55,7.01,3.46,1471,5.8,3.42,1.1,3.0,61,-1.9,1.48,1.30,7,16,11,-2.2,3.49 ,3.52,87,55.86,3.4,1.1,0.0,256,13356,3301,435,676,1471,61.1,430,3.4,7.1,0.23,320,10730,1857,1538,1698,69.7,494
1993,3.12,5.83,2.71,1665,13.2,3.47,1.6,3.0,68,-1.4,1.65,1.30,8,16,17,-1.4,2.81 ,3.02,94,58.91,3.5,1.6,0.1,259,13417,3754,466,776,1665,68.1,479,3.7,6.4,0.22,321,11386,2268,2255,2262,87.2,619
1994,4.43,7.12,2.69,1681,1.0,3.49,0.5,2.6,68,-2.1,1.66,1.12,8,16,6,-1.6,2.92 ,4.20,91,60.81,3.5,0.5,0.0,263,13279,3834,459,751,1681,68.4,481,3.7,2.3,0.08,321,11621,1881,2097,1989,75.0,532
1995,5.63,6.48,0.85,2261,34.5,3.65,4.5,2.8,88,1.7,2.13,1.21,11,17,34,0.4,0.64 ,5.84,84,65.35,3.6,4.5,0.2,266,13714,5117,615,1052,2261,88.1,620,3.9,5.4,0.20,322,12219,1871,2260,2066,73.9,525
1996,5.15,6.46,1.31,2826,25.0,3.82,4.8,3.0,105,1.8,2.54,1.30,14,18,24,0.0,1.16 ,5.30,87,71.01,3.8,4.8,0.2,269,14218,6448,740,1291,2826,105.0,739,4.1,3.9,0.15,322,12693,2315,2880,2598,89.5,635
1997,5.21,6.31,1.11,3483,23.2,4.05,5.8,2.3,122,3.5,2.96,0.99,18,19,21,-0.1,0.85 ,5.46,96,77.42,4.0,5.8,0.2,272,14875,7908,970,1570,3483,122.3,861,4.3,4.3,0.18,323,13211,2998,4224,3611,119.2,846
1998,4.87,5.21,0.34,4201,20.6,4.39,8.6,1.6,136,7.0,3.29,0.69,21,20,14,0.3,-0.14 ,5.35,99,83.91,4.4,8.6,0.3,275,15972,9181,1229,2192,4201,135.8,956,4.5,4.8,0.20,325,13780,3942,5006,4474,140.9,1000
1999,4.82,5.70,0.88,4678,11.4,4.66,6.0,2.2,143,3.8,3.46,0.95,24,22,8,0.1,0.73 ,4.97,100,89.79,4.7,6.0,0.3,279,16687,11497,1469,1069,4678,142.7,1005,4.7,5.3,0.24,325,14477,5958,6958,6458,193.2,1371
2000,5.99,5.96,-0.03,4859,3.9,4.96,6.6,3.4,139,3.2,3.37,1.47,25,23,1,1.5,-0.27 ,6.24,110,94.27,5.0,6.6,0.3,285,17419,10788,1320,2470,4859,139.0,979,4.9,4.3,0.20,325,15096,5926,6433,6180,177.3,1258
2001,3.35,4.96,1.62,4373,-10.0,5.44,9.6,2.8,114,6.8,2.77,1.21,22,25,-15,-0.4,1.08 ,3.89,116,95.93,5.4,9.6,0.5,285,19095,10022,1148,1950,4373,114.1,804,5.4,10.9,0.54,326,16706,4624,5160,4892,126.5,898
2002,1.62,4.53,2.91,3519,-19.5,5.79,6.4,1.6,86,4.8,2.09,0.69,18,27,-21,-2.2,2.87 ,1.67,111,95.18,5.8,6.4,0.4,287,20182,8342,879,1335,3519,86.3,607,5.8,6.6,0.36,327,17772,3063,2892,2978,72.2,513
2003,1.08,3.99,2.91,4523,28.5,6.06,4.7,2.3,106,2.4,2.57,0.99,23,28,29,-1.9,2.86 ,1.13,95,95.95,6.1,4.7,0.3,290,20906,10454,1111,2003,4523,106.0,746,6.2,6.4,0.37,328,18870,3557,3965,3761,85.7,608
2004,1.65,4.26,2.61,4723,4.4,6.41,5.7,2.7,105,3.0,2.54,1.17,24,30,4,-1.4,2.91 ,1.35,87,96.53,6.4,5.7,0.3,293,21881,10783,1211,2175,4723,104.6,737,6.6,6.3,0.39,329,19959,3821,4256,4039,86.6,615
2005,3.53,4.26,0.73,4724,0.0,6.71,4.7,3.4,100,1.3,2.42,1.47,24,31,-1,0.7,1.05 ,3.21,87,96.75,6.7,4.7,0.3,295,22747,10718,1248,2205,4724,100.0,704,7.1,8.6,0.56,331,21569,4715,5408,5062,100.0,710
2006,4.98,4.78,-0.20,5432,15.0,7.10,5.7,3.2,109,2.5,2.63,1.38,27,33,12,1.6,-0.18 ,4.96,86,97.45,7.1,5.7,0.4,298,23810,12463,1418,2415,5432,108.7,766,7.8,9.4,0.67,331,23544,5541,6596,6069,109.6,778
2007,4.48,4.57,0.09,5795,6.7,7.49,5.6,2.8,110,2.8,2.66,1.21,29,35,4,1.1,-0.44 ,5.02,80,98.14,7.5,5.6,0.4,301,24890,13265,1468,2652,5795,109.9,774,8.7,11.4,0.89,332,26170,5614,8067,6841,110.9,787
2008,1.52,3.59,2.07,3752,-35.3,8.26,10.3,3.8,65,6.5,1.56,1.64,19,38,-40,-0.4,1.66 ,1.93,77,96.37,8.3,10.3,0.8,304,27179,8776,903,1577,3752,64.5,454,9.4,8.4,0.73,334,28245,3217,4810,4014,60.0,426
2009,0.28,3.27,2.99,4604,22.7,8.45,2.2,-0.4,77,2.6,1.88,-0.17,23,39,23,-3.2,3.11 ,0.16,81,95.43,8.4,2.2,0.2,307,27510,10428,1115,2269,4604,77.4,545,9.4,-0.4,-0.04,334,28057,3936,5957,4947,74.3,527
2010,0.20,3.13,2.93,5162,12.1,8.83,4.5,1.6,83,2.9,2.01,0.69,26,41,12,-2.2,2.95 ,0.18,82,94.84,8.8,4.5,0.4,309,28563,11578,1257,2652,5162,83.1,585,9.3,-0.7,-0.06,335,27823,3804,6914,5359,81.0,575
2011,0.11,2.73,2.63,5360,3.8,9.73,10.2,3.2,78,7.0,1.90,1.38,27,45,-1,-1.2,2.63 ,0.10,76,94.09,9.7,10.2,0.9,311,31287,12218,1257,2605,5360,78.2,551,9.5,2.3,0.21,334,28548,3159,5898,4529,66.9,475
2012,0.13,1.74,1.60,5850,9.1,10.47,7.6,2.1,79,5.5,1.92,0.91,30,48,5,-0.7,1.60 ,0.14,80,93.44,10.5,7.6,0.7,313,33454,13104,1426,3019,5850,79.4,559,9.8,2.9,0.27,335,29278,3641,7612,5627,80.8,574
2013,0.09,2.36,2.28,7534,28.8,11.07,5.7,1.5,97,4.2,2.34,0.65,38,51,27,-1.6,2.25 ,0.11,82,93.58,11.1,5.7,0.6,316,35018,16577,1848,4176,7534,96.7,681,9.8,0.4,0.04,336,29314,4295,9552,6924,99.0,703
2014,0.06,2.48,2.42,8206,8.9,11.73,6.0,1.6,99,4.4,2.41,0.69,41,54,7,-1.7,2.39 ,0.09,83,93.81,11.7,6.0,0.7,319,36778,17823,2058,4736,8206,99.3,699,10.3,4.9,0.48,337,30647,4272,9805,7039,96.0,681
2015,0.17,2.09,1.92,8158,-0.6,12.46,6.2,0.1,93,6.1,2.25,0.04,41,58,-5,-1.9,1.96 ,0.13,97,93.78,12.5,6.2,0.7,321,38810,17425,2043,5007,8158,93.0,655,10.8,4.9,0.51,338,32064,4637,10743,7690,100.0,710
2016,0.46,1.82,1.36,9128,11.9,13.28,6.6,1.3,98,5.3,2.37,0.56,46,61,8,-0.8,1.43 ,0.40,97,93.92,13.3,6.6,0.8,323,41100,19763,2238,5383,9128,97.7,688,11.4,5.1,0.55,339,33606,4862,11481,8172,101.1,717
2017,1.09,2.33,1.24,11432,25.2,13.86,4.4,2.1,117,2.3,2.84,0.91,58,64,24,-0.3,1.33 ,1.00,96,94.76,13.9,4.4,0.6,325,42641,24719,2673,6903,11432,117.2,825,11.9,4.2,0.48,340,34916,5312,12917,9115,108.2,768
2018,2.17,2.89,0.72,10823,-5.3,14.43,4.2,2.4,107,1.8,2.58,1.04,55,67,-6,0.3,1.06 ,1.83,94,95.16,14.4,4.2,0.6,326,44278,23327,2506,6635,10823,106.5,750,12.4,4.1,0.49,341,36257,4730,10558,7644,87.1,618
2019,2.07,2.08,0.01,13580,25.5,15.40,6.7,1.8,125,4.9,3.03,0.78,69,71,21,0.8,-0.08 ,2.16,97,96.16,15.4,6.7,1.0,328,46958,28538,3230,8972,13580,125.2,882,13.0,5.1,0.63,341,38110,5978,13249,9614,104.2,740
2020,0.32,0.82,0.50,15750,16.0,19.19,24.6,1.2,117,23.4,2.83,0.51,80,89,-7,0.0,0.45 ,0.38,95,96.82,19.2,24.6,3.8,330,58145,30606,3756,12888,15750,116.6,821,14.5,11.5,1.50,342,42374,5551,13718,9635,93.7,665
2021,0.20,1.57,1.37,18916,20.1,21.59,12.5,4.7,124,7.8,3.01,2.03,96,100,14,0.7,1.49 ,0.08,93,97.68,21.6,12.5,2.4,331,65239,36338,4766,15645,18916,124.4,876,15.4,6.2,0.90,342,45018,7170,15946,11558,105.8,751
2022,4.76,3.87,-0.89,15817,-16.4,21.24,-1.7,8.0,106,-9.7,2.56,3.46,80,98,-8,4.3,-0.23 ,4.10,103,97.93,21.2,-1.7,-0.4,333,63772,33147,3839,10466,15817,105.8,745,16.1,4.4,0.67,342,46982,6473,13923,10198,89.4,635
2023,5.26,3.86,-1.40,18896,19.5,20.87,-1.7,4.1,129,-5.8,3.12,1.77,95,97,24,3.2,-1.47 ,5.33,101,98.83,20.9,-1.7,-0.4,333,62658,37466,4697,14524,18896,128.6,906,16.1,0.3,0.04,342,47111,7543,16751,12147,106.2,754
2024,5.34,4.28,-1.06,19802,4.8,20.87,0.0,3.1,135,-3.1,3.27,1.34,100,97,7,2.4,-1.05 ,5.33,104,99.86,20.9,0.0,0.0,333,62658,38627,5005,15775,19802,134.8,949,16.1,0.0,0.00,343,46974,7966,17419,12693,111.0,788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
